"Marca","Codigo De Material SAP","Descripción Del Material SAP","Cod GENERICO","Txt GENERICO","Cod Grupo Artículo","descolorrgb","desdescubremas001","desdescubremas002","desdescubremas003","codcategoriawebredes","desimagen001","desimagen002","desimagen003","desimagen004","despaso001","despaso002","despaso003","despaso004","desperfumista001","desperfumista002","destip001","destip002","destip003","destip004","deswebredes","deslinkvideo001","deslinkvideo002","deslinkvideo003","deslinkvideo004","deslinkvideo005","desnombrecategoriawebredes","desnombrearchivovideo001","desnombrearchivovideo002","desnombrearchivovideo003","desnombrearchivovideo004","desnombreproductowebredes","despalabrasclave","desresumen","destextovideo001","destextovideo002","destextovideo003","destextovideo004","destextovideo005","destitulodescubremas001","destitulodescubremas002","destitulodescubremas003","destitulogeneralpasoapaso","destitulopaso001","destitulopaso002","destitulopaso003","destitulopaso004","destituloperfumista001","destituloperfumista002","destitulotip001","destitulotip002","destitulotip003","destitulotip004"
"L'BEL","200074843","LBEL ESSENT TON HIDR NS 180ML","","","Tratamiento Facial","","La sensación de suavidad y humectación de tu rostro es increíble.","Su fórmula limpia la delicada piel de tu rostro sin dejar rastro de tirantez o sequedad.","Contiene extracto de Flor de Pivoine con propiedades curativas, suavizantes e hidratantes, y Dulcemín, proteínas de almendra que brindan suavidad.","lbel-010112","","","","","Es de uso diario, puedes aplicarla dos veces al día: mañana y noche, después de limpiar tu rostro con Essential Limpiadora para cutis normal a seco.","Humedece una motita de algodón con Essential.","Con el rostro limpio y seco desliza suavemente el algodón de adentro hacia afuera. Aplica la loción por todo el rostro, menos en el contorno de ojos.","","","","Es de uso diario, puedes aplicarla dos veces al día: mañaana y noche. Después de Essential Limpiadora para tu tipo de piel.","Humedece una motita de algodón con Essential loción tónica.","<lt/>span style="color: #808080; font-family: &quot;Open Sans&quot;, Helvetica, Arial, sans-serif; font-size: 12px; text-align: center;"<gt/>Con el rostro limpio y seco date suaves golpecitos ascendentes. No lo apliques en la zona cercana a ojos y labios.<lt/>/span<gt/>","","Nada más delicioso que lucir un rostro suave sin sequedad y tirantez. Tú tienes el poder de lograrlo. Tonifica y humecta tu piel con Essentials, elimina las impurezas y residuos de tu rostro y cuello.","","","","","","Essential","","","","","Essential Tónica Cutis Normal a Seco","","Loción tónica hidratante suavizante de uso diario. 180 ml e 6 fl.oz.","","","","","","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","","PASO 1","PASO 2","PASO 3","","","","PASO UNO","PASO DOS","PASO TRES",""
"L'BEL","200074845","LB ESSENTIAL TON CG 180 ML","","","Tratamiento Facial","","Porque sus microesferas dan un acabado mate a tu cutis ayudando así a regular el brillo de tu rostro.","Tonifica, limpia y matifica controlando el exceso de grasa en el rostro, no se puede pedir nada más.","Contiene extracto de Flor de Aubepine que limpia y controla el brillo de tu cutis. Además de Ecodermine 3 que regula los mecanismos naturales de la pieL y ayuda a cerrar los poros y reducir el brillo.","lbel-010112","","","","","Es de uso diario, puedes aplicarla dos veces al día: mañana y noche, después de limpiar tu rostro con Essential Limpiadora para cutis graso.","Espárcela por tu rostro con suaves masajes circulares (evita la zona de los ojos).","Enjuagar con abundante agua.","","","","Es de uso diario, puedes aplicarla dos veces al día: mañana y noche. Después de Essential Limpiadora para tu tipo de piel.","Humedece una motita de algodón con Essential loción tónica.","<lt/>span style="color: #808080; font-family: &quot;Open Sans&quot;, Helvetica, Arial, sans-serif; font-size: 12px; text-align: center;"<gt/>Con el rostro limpio y seco date suaves golpecitos ascendentes. No lo apliques en la zona cercana a ojos y labios.<lt/>/span<gt/>","","Olvida el brillo de tu rostro. Matifica y tonifica tu piel, eliminando los rastros de impurezas y residuos de tu rostro y cuello. Además, su acción astringente ayuda a cerrar los poros y reducir el brillo.","","","","","","Essential","","","","","Essential Tónica Cutis Graso","","Loción tónica matificante de uso diario. 180 ml e 6 fl.oz","","","","","","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","","PASO 1","PASO 2","PASO 3","","","","PASO UNO","PASO DOS","PASO TRES",""
"L'BEL","200075958","LB LEDERM CR 35 D-AS 50 ML","","","Tratamiento Facial","","Hidrata, protege y revitaliza tu piel a partir de los 35 años. Es ideal para personas con cutis normal a seco. Las usuarias percibieron en tan sólo 7 días: 77% menos lineas de expresión, 92% mas vitalidad y 95% más hidratación**.","Mejora la protección de tu piel y reestablece el equilibrio en las células de tu piel haciendo que esta luzca revitalizada, hidratada y visiblemente rejuvenecida.","Activa los vitagenes que aumentan la producción de proteínas de defensa de las células, los tejidos y la piel. **Porcentaje de mujeres que percibió; mejoras en eficacia por autoevaluación con supervisión dermatológica en el laboratorio de Allergisa-Brasil, 2012.","lbel-010201","","","","","","","","","","","Limpia y tonifica tu piel.","Aplica con la yema de tus dedos una pequeña cantidad de crema del tratamiento revitalizador y rejuvenecedor.","Extiéndela suavemente sobre tu rostro, hasta su total absorción.","","Que la edad no sea excusa para lucir una piel brillante y sin arrugas por eso te traemos el tratamiento facial LEDERM 35 DIA NORMAL A SECO que ataca los primeros signos de la edad protegiendo, equilibrando y estimulando el aumento de vitaminas que hidratan para revitalizar tu piel . El tratamiento facial LEDERM 35 DIA NORMAL A SECO está; especialmente diseñado para mujeres a partir de los 35 años.","","","","","","Arrugas","","","","","Lederm día 35 + FPS 15 Normal a Seco","","Tratamiento facial contra los primeros signos de la edad crema día FPS 15.","","","","","","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","","","","","","","","PASO UNO","PASO DOS","PASO TRES",""
"L'BEL","200075992","LB LEDERM CR 35 D-AG 50 ML","","","Tratamiento Facial","","Hidrata, protege y revitaliza tu piel a partir de los 35 años. Es ideal para personas con cutis normal a seco. Las usuarias percibieron en tan sólo 7 días: 77% menos lineas de expresión, 92% mas vitalidad y 95% más hidratación**.","Mejora la protección de tu piel y reestablece el equilibrio en las células de tu piel haciendo que esta luzca revitalizada, hidratada y visiblemente rejuvenecida.","Activa los vitagenes que aumentan la producción de proteínas de defensa de las células, los tejidos y la piel. **Porcentaje de mujeres que percibió; mejoras en eficacia por autoevaluación con supervisión dermatológica en el laboratorio de Allergisa-Brasil, 2012.","lbel-010201","","","","","","","","","","","","","","",".","","","","","","Arrugas","","","","","Lederm día 35 + FPS 15 Normal a Graso","","Tratamiento facial contra signos avanzados de la edad FPS 15. 50 ml e 1.6 fl. oz.","","","","","","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","","","","","","","","","","",""
"L'BEL","200075993","LB LEDERM CR 35 NOCHE 50 ML","","","Tratamiento Facial","","Logra reducir esa apariencia cansada que no refleja cómo te sientes. En pocos días tu piel lucirá con más fortaleza y nutrición.","Restablece el equilibrio en las células de tu piel y recupera la firmeza de tu rostro logrando que luzca mas joven.","Lederm 35+ reduce la producción de progerina, una sustancia que se acumula en la piel con la edad, acelerando el proceso de envejecimiento.","lbel-010201","","","","","Limpia y tonifica tu piel.","Aplica con la yema de tus dedos una pequeña cantidad de crema.","Extiéndela suavemente sobre tu rostro, hasta su total absorción.","","","","Limpia y tonifica tu piel.","Aplica con la yema de tus dedos una pequeña cantidad de crema.","Extiéndela suavemente sobre tu rostro, hasta su total absorción.","","Logra reducir esa apariencia cansada que no refleja cómo te sientes. En 7 días tu piel lucirá con más firmeza y vitalidad.","","","","","","Arrugas","","","","","Lederm Noche 35 +","","Tratamiento facial contra los primeros signos de la edad. Crema noche todo tipo de cutis 50 ml e 16 fl. oz.","","","","","","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","","PASO 1","PASO 2","PASO 3","","","","PASO UNO","PASO DOS","PASO TRES",""
"L'BEL","200075994","LB LEDERM CR 35 OJOS 15 ML","","","Tratamiento Facial","","Logra reducir esa apariencia cansada que no refleja cómo te sientes. En pocos días tu piel lucirá con más fortaleza y nutrición.","Fortalece la piel del contorno de tus ojos para evitar que se formen bolsas y ojeras.","Lederm 35+ activa los vitagenes** que aumentan la producción de proteínas de defensa de las células, los tejidos y la piel. **Resultados de pruebas en explantes de piel realizadas con Lederm 35+ en Laboratorios CERT (Francia) y Bioalternatives (Francia).","lbel-010307","","","","","Aplica una pequeña cantidad de crema de ojos sobre tus párpados inferiores y superiores.","Da suaves toques con la yema de tus dedos por el contorno, desde el ángulo interno hacia afuera, hasta lograr su total absorción.","Repite los pasos todos los días, mañana y noche.","","","","Aplica una pequeña cantidad de crema de ojos sobre tus párpados inferiores y superiores.","Da suaves toques con la yema de tus dedos por el contorno, desde el ángulo interno hacia afuera, hasta lograr su total absorción.","Repite los pasos todos los días, mañana y noche.","","Fortalece y nutre tu contorno de ojos. Mejora las arrugas más acentuadas y tipo pliegues.","","","","","","Lederm","","","","","Lederm Ojos 35 +","","Tratamiento facial contra los primeros signos de la edad. Crema contorno de ojos 15 ml e 0.50 fl. oz.","","","","","","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","","PASO 1","PASO 2","PASO 3","","","","PASO UNO","PASO DOS","PASO TRES",""
"L'BEL","200075999","LB LEDERM CR 45 DIAG 50 ML","","","Tratamiento Facial","","Equilibra tu piel, le brinda mucho más firmeza, mayor luminosidad y menos arrugas. Además, es ideal para personas con cutis normal a seco. Las usuarias percibieron en tan sólo 7 días*: 96% mas firmeza, 78% menos arrugas y 97% más luminosidad.","Reestablece el equilibrio en las células de tu piel y recupera la firmeza de tu rostro logrando que luzca más jóven en tan sólo en 7 días.","Lederm 45+ activa la producción de Vimentina, una proteína que regenera y repara la piel, recuperando y reafirmando su estructura de soporte. ** Porcentaje de evaluadas que presentó; mejoras en pruebas de eficacia por evaluación clínica en el laboratorio Claim Argentina , 2012","lbel-010201","","","","","","","","","","","Limpia y tonifica tu piel","Aplica con la yema de tus dedos una pequeña cantidad de crema.","Extiéndela suavemente sobre tu rostro, hasta su total absorción.","",".","","","","","","Arrugas","","","","","Lederm día 45 + FPS 15 Normal a Graso","","Tratamiento facial contra signos avanzados de la edad FPS 15. 50 ml e 1.6 fl. oz.","","","","","","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","","","","","","","","PASO UNO","PASO DOS","PASO TRES",""
"L'BEL","200076000","LB LEDERM CR 45 NOCHE 50 ML","","","Tratamiento Facial","","Cada noche tu piel obtiene mucho más firmeza, mayor luminosidad y menos arrugas. En 7 días obtén: 96% mas firmeza, 78% menos arrugas y 97% más luminosidad.","Restablece el equilibrio en las células de tu piel y recupera la firmeza de tu rostro logrando que luzca mas jóven.","Lederm 45+ reduce la producción de progerina, una sustancia que se acumula en la piel con la edad, acelerando el proceso de envejecimiento.","lbel-010201","","","","","Antes de acostarte, limpia y tonifica tu piel.","Aplica con la yema de tus dedos una pequeña cantidad de crema rejuvenecedora en tu rostro.","Extiende la crema suavemente por todo tu rostro hasta su total absorción.","","","","Antes de acostarte, limpia y tonifica tu piel.","Aplica con la yema de tus dedos una pequeña cantidad de crema rejuvenecedora en tu rostro.","Extiende la crema suavemente por todo tu rostro hasta su total absorción.","","Logra reducir esa apariencia cansada que no refleja cómo te sientes. En 7 días tu piel lucirá con más fortaleza y nutrición","","","","","","Arrugas","","","","","Lederm Noche 45 +","","Tratamiento facial contra signos evidentes de la edad. Crema noche todo tipo de cutis 50 ml e .16 fl. oz.","","","","","","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","","PASO 1","PASO 2","PASO 3","","","","PASO UNO","PASO DOS","PASO TRES",""
"L'BEL","200076001","LB LEDERM CR 45 OJOS 15 ML","","","Tratamiento Facial","","Logra reducir esa apariencia cansada que opaca tu belleza única. En 7 días tu piel lucirá con más firmeza y vitalidad.","Fortalece la piel del contorno de tus ojos para evitar que se formen bolsas y ojeras.","Lederm 45+ activa la producción de vimentina**, una proteína que regenera y repara la piel, recuperando y reafirmando su estructura de soporte.**Resultados de pruebas en explantes de piel realizadas con Lederm 45+ en Laboratorios CERT (Francia) y Bioalternatives (Francia).A los 45+ la vida cambia y también tu piel; a partir de esta edad, la oxidación celular se agudiza y el equilibrio celular se altera, reduciendo la capacidad de regeneración y debilitando la estructura de soporte.","lbel-010307","","","","","Aplica una pequeña cantidad .de crema de ojos sobre tus párpados inferiores y superiores.","Da suaves toques con la yema de tus dedos por el contorno, desde el ángulo interno hacia afuera, hasta lograr su total absorción.","Repite los pasos todos los días, mañana y noche.","","","","Aplica una pequeña cantidad de crema de ojos sobre tus párpados inferiores y superiores.","Da suaves toques con la yema de tus dedos por el contorno, desde el ángulo interno hacia afuera, hasta lograr su total absorción.","Repite los pasos todos los días, mañana y noche.","","Fortalece y nutre tu contorno de ojos evitando que se formen bolsas y ojeras.","","","","","","Lederm","","","","","Lederm Ojos 45 +","","Tratamiento reafirmante y revitalizante del contorno de los ojos para mujeres de 45 a 55 años. 15 ml e .50 fl. oz.","","","","","","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","","PASO 1","PASO 2","PASO 3","","","","PASO UNO","PASO DOS","PASO TRES",""
"L'BEL","200076066","LB LEDERM CR 55 D-A 50 ML","","","Tratamiento Facial","","Logra reducir esa apariencia cansada que no refleja cómo te sientes. En pocos días tu piel lucirá con más fortaleza y nutrición.","Desacelera el envejecimiento de las células y equilibra sus funciones fortaleciendo y tonificando la piel.","Reduce la producción de Progerina, una sustancia que se acumula en la piel con la edad y acelera el proceso de envejecimiento.","lbel-010201","","","","","Limpia y tonifica tu piel.","Aplica una pequeña cantidad del tratamiento con la ayuda de tus dedos.","Extiende la crema suavemente por todo tu rostro hasta su total absorción.","","","","Limpia y tonifica tu piel.","Aplica una pequeña cantidad del tratamiento con la ayuda de tus dedos.","Extiende la crema suavemente por todo tu rostro hasta su total absorción.","","Luce y siente una piel más joven en tan sólo 7 días. Lederm se encarga de restablecer el equilibrio en tu piel, logrando que las células del rostro vuelvan a funcionar correctamente día a día. En poco tiempo, tu piel se verá más fuerte, elástica y tonificada.","","","","","","Arrugas","","","","","Lederm día 55 + FPS 15","","Tratamiento facial contra signos avanzados de la edad FPS 15. 50 ml e 1.6 fl. oz.","","","","","","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","","PASO 1","PASO 2","PASO 3","","","","PASO UNO","PASO DOS","PASO TRES",""
"L'BEL","200076068","LB LEDERM CR 55 OJOS 15 ML","","","Tratamiento Facial","","Logra reducir esa apariencia cansada que no refleja cómo te sientes. En 7 días tu piel lucirá con más fortaleza y nutrición.","Fortalece la piel del contorno de tus ojos para evitar que se formen bolsas y ojeras.","Lederm 55+ reduce la producción de progerina, una sustancia que se acumula en la piel con la edad, acelerando el proceso de envejecimiento.","lbel-010307","","","","","Aplica una pequeña cantidad de crema de ojos sobre tus párpados inferiores y superiores.","Da suaves toques con la yema de tus dedos por el contorno, desde el ángulo interno hacia afuera, hasta lograr su total absorción.","Repite los pasos todos los días, mañana y noche.","","","","Aplica una pequeña cantidad de crema de ojos sobre tus párpados inferiores y superiores.","Da suaves toques con la yema de tus dedos por el contorno, desde el ángulo interno hacia afuera, hasta lograr su total absorción.","Repite los pasos todos los días, mañana y noche.","","Fortalece y nutre tu contorno de ojos. Mejora las arrugas más acentuadas y tipo pliegues.","","","","","","Lederm","","","","","Lederm Ojos 55 +","","Tratamiento facial contra signos avanzados de la edad. Crema contorno de ojos. 15 ml e .50 fl. oz.","","","","","","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","","PASO 1","PASO 2","PASO 3","","","","PASO UNO","PASO DOS","PASO TRES",""
"L'BEL","200076627","LB LEDERM CR 45 DIAS 50 ML","","","Tratamiento Facial","","Equilibra tu piel, le brinda mucho más firmeza, mayor luminosidad y menos arrugas. Además, es ideal para personas con cutis normal a seco. Las usuarias percibieron en tan solo 7 días: 96% mas firmeza, 78% menos arrugas y 97% más luminosidad.","Reestablece el equilibrio en las células de tu piel y recupera la firmeza de tu rostro logrando que luzca más jóven en tan sólo en 7 dias.","Lederm 45+ activa la producción de Vimentina, una proteína que regenera y repara la piel, recuperando y reafirmando su estructura de soporte. ** Porcentaje de evaluadas que presentó; mejoras en pruebas de eficacia por evaluación cínica en el laboratorio Claim Argentina , 2012","lbel-010201","","","","","","","","","","","Limpia y tonifica tu piel","Aplica con la yema de tus dedos una pequeña cantidad de crema.","Extiéndela suavemente sobre tu rostro, hasta su total absorción.","","Que la edad no sea excusa para lucir una piel brillante y sin arrugas por eso te traemos el tratamiento facial LEDERM 45 DIA NORMAL A SECO que ataca los signos evidentes de la edad protegiendo, equilibrando y estimulando el aumento de vitaminas que hidratan para revitalizar tu piel. El tratamiento facial LEDERM 45 DIA NORMAL A SECO está especialmente diseñado para mujeres a partir de los 45 años.","","","","","","Arrugas","","","","","Lederm día 45 + FPS 15 Normal a Seco","","Tratamiento facial contra signos evidentes de la edad crema día FPS 15.","","","","","","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","","","","","","","","PASO UNO","PASO DOS","PASO TRES",""
"ESIKA","200076945","ES TAC CR OJOS 15 G","","","Tratamiento Facial","","¡Olvídate de las ojeras y las bolsas! Realza tu belleza haciendo que tu mirada se vea renovada. Además, es de muy fácil aplicación gracias a su punta siliconada.","Disminuye la apariencia de las bolsas, ojeras e incluso de las arrugas. También afirma el contorno de los ojos, suaviza la piel y ayuda a protegerla del medio ambiente.","Contiene Pro colágeno, extracto de rosa y caléndula que ayudan a disminuir los signos de envejecimiento en los ojos, gracias a su efecto suavizante y refrescante.","esika-030102","","","","","","","","","","","","","","","Luce totalmente renovada cada mañana eliminando el cansancio de tu mirada con una crema especializada en la delicada piel del contorno de tus ojos. Reduce las bolsas y ojeras y la apariencia de arrugar con un sólo producto.","","","","","","Triple Acción","","","","","Triple Acción Contorno de Ojos","","Crema para el contorno de ojos 15 gr","","","","","","¿Por qué nos encanta?","¿Qué hace?","¿Cómo funciona?","","","","","","","","","","",""
"L'BEL","200077165","LB NEUVIVE 30 ML","","","Tratamiento Facial","","Es tan suave que se puede usar diariamente sin maltratar la piel, además que sus resultados son visibles.","Brinda una renovación no agresiva ni invasiva. Estos son sus resultados en 14 días*** - 89% sintió su rostro más radiante. - 92% sintió su piel llena de vida. - 100% percibió su piel con menos rugosidades.","Neuvive está compuesta por la Biosilicio Technologie, esta posee silicio y ácido hialurónico, elementos que ayudan a dinamizar el ciclo de renovación celular de la piel. Esta tecnología actúa en 3 niveles: Estimula la producción de células nuevas en la piel.* Protege las células de la piel dándole una apariencia renovada.** Elimina las células desgastadas al realizar un micropeeling sin irritación","lbel-0104","","","","","","","","","","","Limpia y tonifica tu rostro.","Dosificar una pequeña cantidad sobre la yema de los dedos y esparcirla con suaves masajes sobre todo el rostro , hasta su completa absorsión.","Aplica Neuvive todas las mañanas y/o noches. Úsala todos los días para tener resultados inmediatos.","","Luce una piel radiante y renovada, llena de luz. Elimina la opacidad de tu rostro y devuélvele la vida que los años hacen que pierda. Solución perfectamente suave y comprobada.","","","","","","Serums","","","","","Neuvive SI","","Tratamiento renovador y perfeccionador facial en crema. 30 ml e 1 fl. oz.","","","","","","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","","","","","","","","PASO UNO","PASO DOS","PASO TRES",""
"L'BEL","200077168","LB COLLAGEX LOC OJOS  15 ML","","","Tratamiento Facial","","Es un sérum especializado para combatir las arrugas de manera inmediata, ademas de tener una acción tratante en el tiempo. 90% de las personas que lo usaron percibieron una menor cantidad de arrugas.","","Su exclusiva fórmula estimula la generación de colágeno natural en la piel desde la 2da hora** y disminuye visiblemente las arrugas en ancho, profundidad y volumen en tan sólo 14 dias**.","lbel-0104","","","","","","","","","","","Limpia y tonifica tu rostro.","Dosifica una pequeña cantidad sobre la yema de los dedos y esparcela con suaves masajes sobre los ojos y labios , especialmente en las zonas donde se concentran las arrugas, hasta su completa absorsión.","Repite el mismo procedimientomtodas las mañanas y noches.","","El contorno de tus ojos y tus labios pueden revelar tu edad. Cuida estas zonas con el sérum especializado que reduce todo tipo de arrugas en 14 días, disminuyendo el ancho, profundidad y tamaño de las mismas.","","","","","","Serums","","","","","Collagenesse XT Ojos","","Tratamiento efecto relleno de arrugas para contorno de ojos y labios (am-pm). 15 ml e .5 fl. oz.","","","","","","¿POR QUÉ NOS ENCANTA?","¿CÓMO FUNCIONA?","¿QUÉ HACE?","","","","","","","","PASO UNO","PASO DOS","PASO TRES",""
"L'BEL","200077182","LB HYDRA CALME OJOS 15 ML","","","Tratamiento Facial","","Reduce la apariencia de los signos de fatiga en tu mirada haciendo que te veas fresca y renovada . Es perfecta para usarse tanto de día como de noche. Desde el primer día de uso, 100% de las usuarias presentaron una disminución de la apariencia de signos de fatiga*","Restablece el equilibrio hídrico en la piel del contorno de los ojos. *Evaluación de eficacia dermatologica realizada a 58 mujeres de entre 25 y 50 años en el Laboratorio ALLERGISA Brasil.","Su sistema roll-on de acero te brinda un suave masaje con una sensación ultra fría que refresca la piel de tus ojos, reduciendo así la apariencia de ojeras y bolsas en tus ojos.","lbel-0102","","","","","","","","","","","Presiona suavemente el envase y desliza el roll-on alrededor de todo el contorno de tus ojos. Repite una vez.","Con los ojos cerrados y con el dedo anular, da suaves toques, a manera de ligeros masajes, en el contorno.","Siente el poder suave y fresco de Hydra Calme en tu piel.","","Siente tu piel fresca, descansada e hidratada. Hydra Calme ojos reduce la apariencia de los signos de fatiga, como ojeras y bolsas en un instante. Dile adiós al cansancio.","","","","","","Hidratantes","","","","","Hydra Calme ojos","","Gel para contorno de ojos hidratante y refrescante. 15 ml e .50 fl. Oz","","","","","","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","","","","","","","","PASO UNO","PASO DOS","PASO TRES",""
"L'BEL","200077418","LB CONCE TO CR PT 50 G","","","Tratamiento Facial","","Es un tratamiento de lujo que te ofrece en un solo paso todos los beneficios para tener una piel radiante. Además, es ideal para todo tipo de cutis. Las personas que la utilizaron obtuvieron: 77% piel más clara**, 95% más firmeza, 87% menos arrugas***, 98% de mayor luminosidad y 98% más hidratación.","Aclara, afirma, alisa, ilumina e hidrata tu rostro.","Su fórmula fusiona las propiedades del Maitake Imperial, secreto ancestral de juventud, con lo más avanzado de la ciencia para crear la innovadora tecnología Deglicâge. Esta es capaz de revertir el daño en las fibras de colágeno de la piel, logrando resultados visibles desde el primer día de uso.","lbel-010206","","","","","Limpia y tonifica la piel de tu rostro.","Extiende una pequeña cantidad de Concentré Total en tu rostro, dibujando círculos con las yema de tus dedos.","Disfruta mientras sientes cómo la crema empieza a absorberse. Su fórmula penetrará rápidamente en tu piel dejándola fresca suave e hidratada.","","","","Limpia y tonifica la piel de tu rostro.","Extiende una pequeña cantidad de Concentré Total en tu rostro, dibujando círculos con las yema de tus dedos.","Disfruta mientras sientes cómo la crema empieza a absorberse. Su fórmula penetrará rápidamente en tu piel dejándola fresca suave e hidratada.","","Luce una piel totalmente rejuvenecida con un tratamiento excepcional que hace todo por tu piel. Su exclusiva fórmula concentra todos los beneficios necesarios para lucir un rostro radiante. Esta poderosa crema retiene el paso de los años y regenera tu piel dotándola de vida y luminosidad.","","","","","","Concentré Total","","","","","Concentré Total Rostro","","Tratamiento global para rostro en crema (am-pm) 50 g e 1.7 oz","","","","","","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","","PASO 1","PASO 2","PASO 3","","","","PASO UNO","PASO DOS","PASO TRES",""
"L'BEL","200077419","LB CONCE TO CR REPUESTO 50 G","","","Tratamiento Facial","","Es un tratamiento de lujo que te ofrece en un solo paso todos los beneficios para tener una piel radiante. Además, es ideal para todo tipo de cutis. Las personas que la utilizaron obtuvieron: 77% piel más clara**, 95% más firmeza, 87% menos arrugas***, 98% de mayor luminosidad y 98% más hidratación.","Aclara, afirma, alisa, ilumina e hidrata tu rostro.","Su fórmula fusiona las propiedades del Maitake Imperial, secreto ancestral de juventud, con lo más avanzado de la ciencia para crear la innovadora tecnología Deglicâge. Esta es capaz de revertir el daño en las fibras de colágeno de la piel, logrando resultados visibles desde el primer día de uso.","lbel-010206","","","","","Limpia y tonifica la piel de tu rostro.","Extiende una pequeña cantidad de Concentré Total en tu rostro, dibujando círculos con las yema de tus dedos.","Disfruta mientras sientes cómo la crema empieza a absorberse. Su fórmula penetrará rápidamente en tu piel dejándola fresca suave e hidratada.","","","","","","","","Luce una piel totalmente rejuvenecida con un tratamiento excepcional que hace todo por tu piel. Su exclusiva fórmula concentra todos los beneficios necesarios para lucir un rostro radiante. Esta poderosa crema retiene el paso de los años y regenera tu piel dotándola de vida y luminosidad.","","","","","","Concentré Total","","","","","Concentré Total Rostro","","Tratamiento global para rostro en crema (am-pm) 50 g e","","","","","","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","","PASO 1","PASO 2","PASO 3","","","","","","",""
"ESIKA","200081873","ES BBCREAM CR PT CLARO 30 G","","","Tratamiento Facial","","¡Tendrás un rostro perfecto al instante y de apariencia más joven! Es ideal para utilizarlo en tu día a día en tu maquillaje y lo mejor es que te protege del sol con su FPS 30.","Cubre imperfecciones, empareja el tono de tu piel, la protege con su FPS 30, te brinda hidratación de hasta 24 horas, la ilumina y ayuda a prevenir el envejecimiento prematuro de la piel.","Contiene partículas esféricas con corazón en forma de diamante azul que dan un efecto de luminosidad en la piel. Sus pigmentos de alta translucidez se mimetizan a la perfección con el tono de la piel. Ayuda a mejorar la hidratación de la piel gracias a sus propiedades de soporte al colágeno y la elastina.","esika-030102","","","","","Depositar en pequeñas cantidades y difuminar desde el interior hacia el exterior.","Extender el producto por todo el rostro y cuello.","","","","","","","","","Un solo producto que lo hace todo por tu piel: base + corrector + protector + hidratante + iluminador. Luce un rostro con apariencia más joven en pocos minutos.","","","","","","Triple Acción","","","","","Triple Acción BB Cream","","Crema facial perfeccionadora con color FPS 30 - 30 g / 1 oz.","","","","","","¿Por qué nos encanta?","¿Qué hace?","¿Cómo funciona?","","Paso 1","Paso 2","","","","","","","",""
"ESIKA","200081874","ES BBCREAM CR PT MEDIO 30 G","","","Tratamiento Facial","","¡Tendrás un rostro perfecto al instante y de apariencia más joven! Es ideal para utilizarlo en tu día a día en tu maquillaje y lo mejor es que te protege del sol con su FPS 30.","Cubre imperfecciones, empareja el tono de tu piel, la protege con su FPS 30, te brinda hidratación de hasta 24 horas, la ilumina y ayuda a prevenir el envejecimiento prematuro de la piel.","Contiene partículas esféricas con corazón en forma de diamante azul que dan un efecto de luminosidad en la piel. Sus pigmentos de alta translucidez se mimetizan a la perfección con el tono de la piel. Ayuda a mejorar la hidratación de la piel gracias a sus propiedades de soporte al colágeno y la elastina.","esika-030102","","","","","Depositar en pequeñas cantidades y difuminar desde el interior hacia el exterior.","Extender el producto por todo el rostro y cuello.","","","","","","","","","Un solo producto que lo hace todo por tu piel: base + corrector + protector + hidratante + iluminador. Luce un rostro con apariencia más joven en pocos minutos.","","","","","","Triple Acción","","","","","Triple Acción BB Cream","","Crema facial perfeccionadora con color FPS 30 - 30 g / 1 oz.","","","","","","¿Por qué nos encanta?","¿Qué hace?","¿Cómo funciona?","","Paso 1","Paso 2","","","","","","","",""
