"grupodeatributos","codsap","desproductosap","unidadmedidabase","codproducto","codgrupoarticulo","desgrupoarticulo","codunidadnegocio","codjerq01","codmarca","desmarca","codigonegocio","desnegocio","codatributo1","desatributo1","codatributo2","desatributo2","codatributo3","desatributo3","peticionborrado","tipoean","codean13","codcuc","descripcioncuc","codcuctono","descripcioncuctono","codlinea","deslinea","codjerq02","desjerq02","codcategoria","descategoria","codsubcategoria","dessubcategoria","codtipo","destipo","codsubtipo","dessubtipo","codproductogenerico","desproductogenerico","codproductosupergenerico","desproductosupergenerico","largo","ancho","Volumen","pesobruto","alto","unidadlongitud","unidadvolumen","unidadpeso","codclasemkt","aplicacionlugaruso","beneficio","descaracteristicabulk","edadobjetivo","familiafragancia","gama","grupoproductoac","mercado","presentacionenvase","sexo","sexoedadobjetivo","teoriacolor","tipoestuche","tipopielcabello","tipoproducto","contenidoneto","umcontenido","acabadoaccessorios","acabadocajareloj","acabadoluna","adicional","caracteristicastirasasas","caracteristicasbijouterie","cierrecomplementos","clasificacionproductos","colorcorrea","colorluna","colormarco","colortono","colortonocajareloj","detallecaja","detalleespecifi","detalleproducto","detallesuela","detallebrazo","detallemarcolentes","dialacabado","colorreloj","disenocomplementos","tipoestampado","estiloaccesorio","estiloropa","formacaja","grosorbrazo","GrupoProductosHogar","insumocajareloj","insumomaterialprimario","insumocomplementario","materialcajareloj","modelolentes","niveles","nombregenericoaccesorio","nombregenerico","ocasionusoaccesorio","ocasionusoropa","origenaccesorio","tipoplaneacion","posicionamiento","presentacionforma","rotulosfila","subtipoprodhogar","subtipoprodcomplementos","tallatamano","tema","tematico","tipoluna","tipomaterial","tipomaterialropacalzado","tipomaterialbrazolente","tipotirasasas","tipologiareloj","tirasasas","versatilidad"
"SAP","200095567","ES PAR CASCADE ILLUSION 200ML","Unidad","P0053276005","0105","Tratamiento Corporal","Cosméticos","02010500020006","02","ESIKA","0105","TRATAMIENTO CORPORAL","0002","CUERPO","0006","LOCION / CREMA","","","","","","200095567","ES PAR CASCADE ILLUSION 200ML","","","","LINEA PARADISSO","1509019383055","TRATAMIENTO CORPORAL/CUERPO/HUMECTANTES-NUTRITIVAS/LOCIONES PERFUMADAS","09","TRATAMIENTO CORPORAL","019","CUERPO","383","HUMECTANTES-NUTRITIVAS","055","LOCIONES PERFUMADAS","","","","","77.000","50.000","685.300","227.000","178.000","Milímetro","Cm3","Gramo","Trat_Corporal","Cuerpo","Humectante","Crema","","","","","Crema/Loc Corporal","Frasco Con Pump / Spray","Femenino","","","","Todo Tipo De Piel","Locion / Crema","200.0","Ml","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200095568","ES PAR MOON MYSTERY 200ML","Unidad","P0053276006","0105","Tratamiento Corporal","Cosméticos","02010500020006","02","ESIKA","0105","TRATAMIENTO CORPORAL","0002","CUERPO","0006","LOCION / CREMA","","","","","","200095568","ES PAR MOON MYSTERY 200ML","","","","LINEA PARADISSO","1509019383055","TRATAMIENTO CORPORAL/CUERPO/HUMECTANTES-NUTRITIVAS/LOCIONES PERFUMADAS","09","TRATAMIENTO CORPORAL","019","CUERPO","383","HUMECTANTES-NUTRITIVAS","055","LOCIONES PERFUMADAS","","","","","77.000","50.000","685.300","227.000","178.000","Milímetro","Cm3","Gramo","Trat_Corporal","Cuerpo","Humectante","Crema","","","","","Crema/Loc Corporal","Frasco Con Pump / Spray","Femenino","","","","Todo Tipo De Piel","Locion / Crema","200.0","Ml","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200095790","LB L'ECLAT LOC PERF 160ML","Unidad","P0445276001","0105","Tratamiento Corporal","Cosméticos","01010500020006","01","L'BEL","0105","TRATAMIENTO CORPORAL","0002","CUERPO","0006","LOCION / CREMA","","","","","","200095790","LB L'ECLAT LOC PERF 160ML","","","","LECLAT","1509019383055","TRATAMIENTO CORPORAL/CUERPO/HUMECTANTES-NUTRITIVAS/LOCIONES PERFUMADAS","09","TRATAMIENTO CORPORAL","019","CUERPO","383","HUMECTANTES-NUTRITIVAS","055","LOCIONES PERFUMADAS","","","","","80.000","50.000","640.000","199.000","160.000","Milímetro","Cm3","Gramo","Trat_Corporal","Cuerpo","Energizante","Crema","","","","","Crema/Loc Corporal","Tubo","Femenino","","","","Todo Tipo De Piel","Locion / Crema","160.0","Ml","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200096218","ES MULTICR NUTR CR REFIL 750ML","Unidad","P0417276811","0105","Tratamiento Corporal","Cosméticos","02010500020006","02","ESIKA","0105","TRATAMIENTO CORPORAL","0002","CUERPO","0006","LOCION / CREMA","","","","","","200096218","ES MULTICR NUTR CR REFIL 750ML","","","","MULTICREM/BODYCREAM","1509019383018","TRATAMIENTO CORPORAL/CUERPO/HUMECTANTES-NUTRITIVAS/LOCIONES CREMAS","09","TRATAMIENTO CORPORAL","019","CUERPO","383","HUMECTANTES-NUTRITIVAS","018","LOCIONES CREMAS","","","","","240.000","130.000","1560.000","786.000","50.000","Milímetro","Cm3","Gramo","Trat_Corporal","Cuerpo","Humectante","Crema","","","","","Crema/Loc Corporal","Doypack","Unisex","","","","Todo Tipo De Piel","Locion / Crema","750.0","Ml","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200096219","ES MULTICR FIRM CR REFILL750ML","Unidad","P0428276373","0105","Tratamiento Corporal","Cosméticos","02010500020006","02","ESIKA","0105","TRATAMIENTO CORPORAL","0002","CUERPO","0006","LOCION / CREMA","","","","","","200096219","ES MULTICR FIRM CR REFILL750ML","","","","AQUA LOTION","1509019383018","TRATAMIENTO CORPORAL/CUERPO/HUMECTANTES-NUTRITIVAS/LOCIONES CREMAS","09","TRATAMIENTO CORPORAL","019","CUERPO","383","HUMECTANTES-NUTRITIVAS","018","LOCIONES CREMAS","","","","","240.000","130.000","1560.000","786.000","50.000","Milímetro","Cm3","Gramo","Trat_Corporal","Cuerpo","Humectante","Crema","","","","","Crema/Loc Corporal","Doypack","Unisex","","","","Todo Tipo De Piel","Locion / Crema","750.0","Ml","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200096220","ES TAC CR REFILL 750ML","Unidad","P0452270937","0105","Tratamiento Corporal","Cosméticos","02010500020006","02","ESIKA","0105","TRATAMIENTO CORPORAL","0002","CUERPO","0006","LOCION / CREMA","","","","","","200096220","ES TAC CR REFILL 750ML","","","","TRIPLE/MULTIACCION","1509019383018","TRATAMIENTO CORPORAL/CUERPO/HUMECTANTES-NUTRITIVAS/LOCIONES CREMAS","09","TRATAMIENTO CORPORAL","019","CUERPO","383","HUMECTANTES-NUTRITIVAS","018","LOCIONES CREMAS","","","","","240.000","130.000","1560.000","786.000","50.000","Milímetro","Cm3","Gramo","Trat_Corporal","Cuerpo","Humectante","Crema","","","","","Crema/Loc Corporal","Doypack","Unisex","","","","Todo Tipo De Piel","Locion / Crema","750.0","Ml","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200096221","ES MULTICARE EDL CR SAN VA 1LT","Unidad","P0401000006","0105","Tratamiento Corporal","Cosméticos","02010500020006","02","ESIKA","0105","TRATAMIENTO CORPORAL","0002","CUERPO","0006","LOCION / CREMA","","","","","","200050748","MULTICREM NUTRIENTS X 1000 ML","","","","MULTICARE","1509019383018","TRATAMIENTO CORPORAL/CUERPO/HUMECTANTES-NUTRITIVAS/LOCIONES CREMAS","09","TRATAMIENTO CORPORAL","019","CUERPO","383","HUMECTANTES-NUTRITIVAS","018","LOCIONES CREMAS","","","","","100.000","80.000","2320.000","1110.000","290.000","Milímetro","Cm3","Gramo","Trat_Corporal","Cuerpo","Humectante","Crema","","","","","Crema/Loc Corporal","Frasco Con Pump / Spray","Femenino","","","","Todo Tipo De Piel","Locion / Crema","1.0","L","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200093670","LB BIORENO HIDRA FPS 30 ML","Unidad","P0080277001","0104","Tratamiento Facial","Cosméticos","01010400040006","01","L'BEL","0104","TRATAMIENTO FACIAL","0004","ROSTRO","0006","HUMECTANTE","","","","BC","7899490541680","200093670","LB BIORENO HIDRA FPS 30 ML","","","","BIO TRATAMIENTO FACIAL","1410156040158","TRATAMIENTO FACIAL/PARA ROSTRO/HUMECTANTES/P-MUJER CUTIS SECO-NORMAL SECO","10","TRATAMIENTO FACIAL","156","PARA ROSTRO","040","HUMECTANTES","158","P-MUJER CUTIS SECO-NORMAL SECO","","","","","46.000","35.000","0.227","147.500","141.000","Milímetro","Dm3","Gramo","Trat_Facial","Rostro","Hidratante","Crema","","","","","Humectante","","Femenino","","","","Todo Tipo De Cutis","Humectante","50.0","Ml","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200093671","LB BIORENO NUTRI  50 G","Unidad","P0080270023","0104","Tratamiento Facial","Cosméticos","01010400040011","01","L'BEL","0104","TRATAMIENTO FACIAL","0004","ROSTRO","0011","NUTRITIVA / REVITALIZADORA","","","","BC","7899490541697","200093671","LB BIORENO NUTRI  50 G","","","","BIO TRATAMIENTO FACIAL","1410156041213","TRATAMIENTO FACIAL/PARA ROSTRO/NUTRITIVAS REVITALIZADORA/P-MUJER TODOTIPODECUTIS-NO","10","TRATAMIENTO FACIAL","156","PARA ROSTRO","041","NUTRITIVAS REVITALIZADORA","213","P-MUJER TODOTIPODECUTIS-NO","","","","","76.000","63.000","0.297","220.000","62.000","Milímetro","Dm3","Gramo","Trat_Facial","Rostro","Hidratante","Gel","","","","","Nutritiva/Revitalizadora","","Femenino","","","","Sin Asignar","Nutritiva / Revitalizadora","50.0","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200093674","LB BIORENO HIDRA TRIAL 5 ML","Unidad","P0080274001","0104","Tratamiento Facial","Cosméticos","01010400040010","01","L'BEL","0104","TRATAMIENTO FACIAL","0004","ROSTRO","0010","MUESTRA","","","","BC","7899490541710","200093674","LB BIORENO HIDRA TRIAL 5 ML","","","","BIO TRATAMIENTO FACIAL","1412057040230","MUESTRAS COSMETICOS/TRATAMIENTO FACIAL/HUMECTANTES/TRIAL SIZE","12","MUESTRAS COSMETICOS","057","TRATAMIENTO FACIAL","040","HUMECTANTES","230","TRIAL SIZE","","","","","32.500","26.500","61.149","15.000","71.000","Milímetro","Cm3","Gramo","Trat_Facial","Rostro","Hidratante","Crema","","","","","Muestras Cosm Trat Facial","","Femenino","","","","Todo Tipo De Cutis","Muestra","5.0","Ml","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200093676","LB BIORENO NUTRI TRIAL 5 G","Unidad","P0080274002","0104","Tratamiento Facial","Cosméticos","01010400040010","01","L'BEL","0104","TRATAMIENTO FACIAL","0004","ROSTRO","0010","MUESTRA","","","","BC","7899490541727","200093676","LB BIORENO NUTRI TRIAL 5 G","","","","BIO TRATAMIENTO FACIAL","1412057436230","MUESTRAS COSMETICOS/TRATAMIENTO FACIAL/NUTRITIVAS REVIT.AREAS ESP/TRIAL SIZE","12","MUESTRAS COSMETICOS","057","TRATAMIENTO FACIAL","436","NUTRITIVAS REVIT.AREAS ESP","230","TRIAL SIZE","","","","","32.500","26.500","61.149","15.000","71.000","Milímetro","Cm3","Gramo","Trat_Facial","Rostro","Hidratante","Gel","","","","","Muestras Cosm Trat Facial","","Femenino","","","","Todo Tipo De Cutis","Muestra","5.0","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200093678","LB BIORENO HIDRA FPS BR  50 ML","Unidad","P0080277003","0104","Tratamiento Facial","Cosméticos","01010400040006","01","L'BEL","0104","TRATAMIENTO FACIAL","0004","ROSTRO","0006","HUMECTANTE","","","","","","200093670","LB BIORENO HIDRA FPS 30 ML","","","","BIO TRATAMIENTO FACIAL","1410156040158","TRATAMIENTO FACIAL/PARA ROSTRO/HUMECTANTES/P-MUJER CUTIS SECO-NORMAL SECO","10","TRATAMIENTO FACIAL","156","PARA ROSTRO","040","HUMECTANTES","158","P-MUJER CUTIS SECO-NORMAL SECO","","","","","0.000","0.000","0.000","0.000","0.000","Milímetro","Cm3","Gramo","Trat_Facial","Rostro","Hidratante","Crema","","","","","Humectante","","Femenino","","","","Todo Tipo De Cutis","Humectante","50.0","Ml","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200093680","LB BIORENO NUTRI BR 50 ML","Unidad","P0080270024","0104","Tratamiento Facial","Cosméticos","01010400040011","01","L'BEL","0104","TRATAMIENTO FACIAL","0004","ROSTRO","0011","NUTRITIVA / REVITALIZADORA","","","","","","200093671","LB BIORENO NUTRI  50 G","","","","BIO TRATAMIENTO FACIAL","1410037041213","TRATAMIENTO FACIAL/PARA OJOS/NUTRITIVAS REVITALIZADORA/P-MUJER TODOTIPODECUTIS-NORM","10","TRATAMIENTO FACIAL","037","PARA OJOS","041","NUTRITIVAS REVITALIZADORA","213","P-MUJER TODOTIPODECUTIS-NORM","","","","","0.000","0.000","0.000","0.000","0.000","Milímetro","Cm3","Gramo","Trat_Facial","Rostro","Hidratante","Gel","","","","","Nutritiva/Revitalizadora","","Femenino","","","","Todo Tipo De Cutis","Nutritiva / Revitalizadora","50.0","Ml","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200093681","LB BIORENO HDR+NTR+LIM SA 3 UN","Unidad","P0080034051","0104","Tratamiento Facial","Cosméticos","01010400040010","01","L'BEL","0104","TRATAMIENTO FACIAL","0004","ROSTRO","0010","MUESTRA","","","","","","200093681","LB BIORENO HDR+NTR+LIM SA 3 UN","","","","BIO TRATAMIENTO FACIAL","1412057040275","MUESTRAS COSMETICOS/TRATAMIENTO FACIAL/HUMECTANTES/SACHET ENCARTADO","12","MUESTRAS COSMETICOS","057","TRATAMIENTO FACIAL","040","HUMECTANTES","275","SACHET ENCARTADO","","","","","235.000","160.000","75.200","20.000","2.000","Milímetro","Cm3","Gramo","Trat_Facial","Rostro","Hidratante","Crema","","","","","Muestras Cosm Trat Facial","","Femenino","","","","Todo Tipo De Cutis","Muestra","3.0","Un","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200093683","LB BIORENO KIT TS 3 UN","Unidad","P0080274003","0104","Tratamiento Facial","Cosméticos","01010400040010","01","L'BEL","0104","TRATAMIENTO FACIAL","0004","ROSTRO","0010","MUESTRA","","","","","","200093683","LB BIORENO KIT TS 3 UN","","","","BIO TRATAMIENTO FACIAL","1412057041230","MUESTRAS COSMETICOS/TRATAMIENTO FACIAL/NUTRITIVAS REVITALIZADORA/TRIAL SIZE","12","MUESTRAS COSMETICOS","057","TRATAMIENTO FACIAL","041","NUTRITIVAS REVITALIZADORA","230","TRIAL SIZE","","","","","115.000","42.000","0.580","120.000","120.000","Milímetro","Dm3","Gramo","Trat_Facial","Rostro","Varios","Sin Asignar","","","","","Muestras Cosm Trat Facial","","Femenino","","","","Sin Asignar","Muestra","3.0","Un","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
